,Price,YearBuilt,Rooms,Bedroom2,Bathroom,Distance,Car,Postcode,Landsize,Eastern Metropolitan,Eastern Victoria,Northern Metropolitan,Northern Victoria,South-Eastern Metropolitan,Southern Metropolitan,Western Metropolitan,Western Victoria,t,u
1,1035000.0,1900.0,2,2.0,1.0,2.5,0.0,3067.0,156.0,0,0,1,0,0,0,0,0,0,0
2,1465000.0,1900.0,3,3.0,2.0,2.5,0.0,3067.0,134.0,0,0,1,0,0,0,0,0,0,0
4,1600000.0,2014.0,4,3.0,1.0,2.5,2.0,3067.0,120.0,0,0,1,0,0,0,0,0,0,0
6,1876000.0,1910.0,3,4.0,2.0,2.5,0.0,3067.0,245.0,0,0,1,0,0,0,0,0,0,0
7,1636000.0,1890.0,2,2.0,1.0,2.5,2.0,3067.0,256.0,0,0,1,0,0,0,0,0,0,0
9,1097000.0,1900.0,2,3.0,1.0,2.5,2.0,3067.0,220.0,0,0,1,0,0,0,0,0,0,0
11,1350000.0,2005.0,3,3.0,2.0,2.5,2.0,3067.0,214.0,0,0,1,0,0,0,0,0,0,0
12,750000.0,2009.0,2,2.0,2.0,2.5,1.0,3067.0,0.0,0,0,1,0,0,0,0,0,0,1
15,1310000.0,1890.0,2,2.0,1.0,2.5,2.0,3067.0,238.0,0,0,1,0,0,0,0,0,0,0
16,1200000.0,1880.0,3,3.0,2.0,2.5,1.0,3067.0,113.0,0,0,1,0,0,0,0,0,0,0
17,1176500.0,1890.0,3,2.0,1.0,2.5,1.0,3067.0,138.0,0,0,1,0,0,0,0,0,0,0
19,890000.0,1985.0,2,2.0,1.0,2.5,1.0,3067.0,150.0,0,0,1,0,0,0,0,0,0,0
20,1330000.0,1900.0,4,4.0,2.0,2.5,2.0,3067.0,780.0,0,0,1,0,0,0,0,0,0,0
21,900000.0,2010.0,3,3.0,2.0,2.5,2.0,3067.0,0.0,0,0,1,0,0,0,0,0,1,0
23,500000.0,1970.0,2,2.0,1.0,2.5,1.0,3067.0,0.0,0,0,1,0,0,0,0,0,0,1
24,1100000.0,2013.0,2,2.0,2.0,2.5,1.0,3067.0,124.0,0,0,1,0,0,0,0,0,0,0
25,1315000.0,1900.0,2,2.0,1.0,2.5,0.0,3067.0,147.0,0,0,1,0,0,0,0,0,0,0
27,1447500.0,2012.0,3,3.0,3.0,2.5,1.0,3067.0,166.0,0,0,1,0,0,0,0,0,0,0
29,1135000.0,1920.0,2,2.0,2.0,2.5,2.0,3067.0,98.0,0,0,1,0,0,0,0,0,0,0
32,1290000.0,1950.0,3,3.0,1.0,2.5,1.0,3067.0,168.0,0,0,1,0,0,0,0,0,0,0
33,470000.0,2013.0,1,1.0,1.0,2.5,1.0,3067.0,0.0,0,0,1,0,0,0,0,0,0,1
34,1180000.0,1900.0,2,2.0,1.0,2.5,0.0,3067.0,162.0,0,0,1,0,0,0,0,0,0,0
35,1195000.0,1998.0,3,3.0,2.0,2.5,1.0,3067.0,120.0,0,0,1,0,0,0,0,0,0,0
36,1012500.0,1900.0,2,2.0,1.0,2.5,0.0,3067.0,182.0,0,0,1,0,0,0,0,0,0,0
37,1030000.0,1930.0,2,2.0,1.0,2.5,1.0,3067.0,172.0,0,0,1,0,0,0,0,0,0,0
38,840000.0,2016.0,3,3.0,2.0,13.5,1.0,3042.0,303.0,0,0,0,0,0,0,1,0,1,0
39,730000.0,1965.0,3,3.0,2.0,13.5,1.0,3042.0,0.0,0,0,0,0,0,0,1,0,0,0
40,770000.0,1965.0,3,3.0,2.0,13.5,1.0,3042.0,0.0,0,0,0,0,0,0,1,0,0,0
41,603000.0,1950.0,2,2.0,1.0,13.5,1.0,3042.0,272.0,0,0,0,0,0,0,1,0,0,0
42,700000.0,2009.0,3,3.0,2.0,13.5,2.0,3042.0,239.0,0,0,0,0,0,0,1,0,1,0
43,600000.0,1980.0,3,2.0,1.0,13.5,1.0,3042.0,290.0,0,0,0,0,0,0,1,0,0,0
44,500000.0,2011.0,2,2.0,1.0,13.5,1.0,3042.0,168.0,0,0,0,0,0,0,1,0,0,1
